chi2,fratio,logg,teff1,teff2,dlogchi2,KEPLER_surface,KEPLER_spot,IRAC_CH1_surface,IRAC_CH1_spot,IRAC_CH2_surface,IRAC_CH2_spot,SPECULOOS_surface,SPECULOOS_spot,PANSTARRS_G_surface,PANSTARRS_G_spot,PANSTARRS_R_surface,PANSTARRS_R_spot,PANSTARRS_I_surface,PANSTARRS_I_spot,PANSTARRS_Z_surface,PANSTARRS_Z_spot,PANSTARRS_Y_surface,PANSTARRS_Y_spot,2MASS_J_surface,2MASS_J_spot,2MASS_H_surface,2MASS_H_spot,2MASS_KS_surface,2MASS_KS_spot,WISE_W1_surface,WISE_W1_spot,WISE_W2_surface,WISE_W2_spot,WISE_W3_surface,WISE_W3_spot,WISE_W4_surface,WISE_W4_spot
8011.393290476367,0.0,5.208396580093247,2400.0,2400.0,1.5015945210924695,8.713678040033387e-13,8.713678040033387e-13,1.401068396816252e-12,1.401068396816252e-12,8.021732911794611e-13,8.021732911794611e-13,3.1216270696056905e-12,3.1216270696056905e-12,1.2681076423461539e-14,1.2681076423461539e-14,7.558874309470346e-14,7.558874309470346e-14,6.649101615007357e-13,6.649101615007357e-13,1.8755102636695927e-12,1.8755102636695927e-12,1.6391119628732689e-12,1.6391119628732689e-12,9.246922322572252e-12,9.246922322572252e-12,9.198244868704251e-12,9.198244868704251e-12,4.595266887649034e-12,4.595266887649034e-12,2.9028212329275664e-12,2.9028212329275664e-12,1.513285574105046e-12,1.513285574105046e-12,3.259576253142051e-13,3.259576253142051e-13,1.976137452221492e-14,1.976137452221492e-14
5749.630175447174,0.0,5.208396580093247,2420.0,2420.0,1.3575263798474229,9.461233155633583e-13,9.461233155633583e-13,1.428843738125265e-12,1.428843738125265e-12,8.22093559199545e-13,8.22093559199545e-13,3.315109073367332e-12,3.315109073367332e-12,1.4485643527194688e-14,1.4485643527194688e-14,8.065601485810248e-14,8.065601485810248e-14,7.294487689750646e-13,7.294487689750646e-13,1.999830508013415e-12,1.999830508013415e-12,1.7163914488135477e-12,1.7163914488135477e-12,9.536554988130782e-12,9.536554988130782e-12,9.466349393029275e-12,9.466349393029275e-12,4.723389342187758e-12,4.723389342187758e-12,2.9690469578196728e-12,2.9690469578196728e-12,1.5524277019761589e-12,1.5524277019761589e-12,3.3102671709460165e-13,3.3102671709460165e-13,2.007216569330297e-14,2.007216569330297e-14
3925.2669087513286,0.0,5.208396580093247,2440.0,2440.0,1.191755661780718,1.0271460763257796e-12,1.0271460763257796e-12,1.4569495931678817e-12,1.4569495931678817e-12,8.423574289833362e-13,8.423574289833362e-13,3.520343478614251e-12,3.520343478614251e-12,1.6532350421412417e-14,1.6532350421412417e-14,8.607191571926853e-14,8.607191571926853e-14,8.000194502533478e-13,8.000194502533478e-13,2.1316884910655912e-12,2.1316884910655912e-12,1.7966674967304558e-12,1.7966674967304558e-12,9.832971420777413e-12,9.832971420777413e-12,9.740133897438519e-12,9.740133897438519e-12,4.8540485354484106e-12,4.8540485354484106e-12,3.036312923547427e-12,3.036312923547427e-12,1.5922692935194247e-12,1.5922692935194247e-12,3.3613296769545594e-13,3.3613296769545594e-13,2.0385230997944647e-14,2.0385230997944647e-14
2506.893807558485,0.0,5.208396580093247,2460.0,2460.0,0.9970224062713338,1.1149596920320831e-12,1.1149596920320831e-12,1.485387438906269e-12,1.485387438906269e-12,8.629683346735973e-13,8.629683346735973e-13,3.738073103502539e-12,3.738073103502539e-12,1.8851847534970468e-14,1.8851847534970468e-14,9.186271885415711e-14,9.186271885415711e-14,8.771710864123049e-13,8.771710864123049e-13,2.271505380308978e-12,2.271505380308978e-12,1.880031913727295e-12,1.880031913727295e-12,1.0136280292942845e-11,1.0136280292942845e-11,1.001967606024599e-11,1.001967606024599e-11,4.987275345643983e-12,4.987275345643983e-12,3.104629332096505e-12,3.104629332096505e-12,1.6328174436100078e-12,1.6328174436100078e-12,3.412763592464413e-13,3.412763592464413e-13,2.0700568302786302e-14,2.0700568302786302e-14
1462.9219551700194,0.0,5.208396580093247,2480.0,2480.0,0.7631076264536203,1.2101321550905507e-12,1.2101321550905507e-12,1.5141587500973647e-12,1.5141587500973647e-12,8.8392972108063e-13,8.8392972108063e-13,3.9690919822340365e-12,3.9690919822340365e-12,2.1478450594176558e-14,2.1478450594176558e-14,9.805694254515693e-14,9.805694254515693e-14,9.615017370243726e-13,9.615017370243726e-13,2.4197242395197123e-12,2.4197242395197123e-12,1.9665785969862126e-12,1.9665785969862126e-12,1.0446591308677372e-11,1.0446591308677372e-11,1.0305054099294393e-11,1.0305054099294393e-11,5.1231008196595636e-12,5.1231008196595636e-12,3.174006448794968e-12,3.174006448794968e-12,1.6740792669690426e-12,1.6740792669690426e-12,3.464568741878875e-13,3.464568741878875e-13,2.1018175494379866e-14,2.1018175494379866e-14
762.0588713843349,0.0,5.208396580093247,2500.0,2500.0,0.47987499192637806,1.3132796935408189e-12,1.3132796935408189e-12,1.5432649993195703e-12,1.5432649993195703e-12,9.05245043646079e-13,9.05245043646079e-13,4.214249227514696e-12,4.214249227514696e-12,2.445055580878798e-14,2.445055580878798e-14,1.0468556413959951e-13,1.0468556413959951e-13,1.0536630056958398e-12,1.0536630056958398e-12,2.5768110953870597e-12,2.5768110953870597e-12,2.0564035655778046e-12,2.0564035655778046e-12,1.07640152086815e-11,1.07640152086815e-11,1.0596346773017579e-11,1.0596346773017579e-11,5.261556173327242e-12,5.261556173327242e-12,3.244454602545196e-12,3.244454602545196e-12,1.7160618980951526e-12,1.7160618980951526e-12,3.516744952644556e-13,3.516744952644556e-13,2.1338050478837624e-14,2.1338050478837624e-14
388.50845581081,0.0,5.208396580093247,2520.0,2520.0,0.18728694428500825,1.414904855269353e-12,1.414904855269353e-12,1.5721101041165977e-12,1.5721101041165977e-12,9.258321786691958e-13,9.258321786691958e-13,4.43768395578338e-12,4.43768395578338e-12,2.7681762368562984e-14,2.7681762368562984e-14,1.115796866901472e-13,1.115796866901472e-13,1.145591221115607e-12,1.145591221115607e-12,2.7209926008137797e-12,2.7209926008137797e-12,2.1314359212914057e-12,2.1314359212914057e-12,1.1008742258029609e-11,1.1008742258029609e-11,1.0837542216443938e-11,1.0837542216443938e-11,5.388319862770841e-12,5.388319862770841e-12,3.3143825372499496e-12,3.3143825372499496e-12,1.756584742168638e-12,1.756584742168638e-12,3.567921176791896e-13,3.567921176791896e-13,2.162911017706174e-14,2.162911017706174e-14
277.9822790967606,0.0,5.208396580093247,2540.0,2540.0,0.041903579967419446,1.5243651212015058e-12,1.5243651212015058e-12,1.6012780342778864e-12,1.6012780342778864e-12,9.467351820427895e-13,9.467351820427895e-13,4.673387148231738e-12,4.673387148231738e-12,3.131704608780409e-14,3.131704608780409e-14,1.1892228291920927e-13,1.1892228291920927e-13,1.2453805876879615e-12,1.2453805876879615e-12,2.872678291180142e-12,2.872678291180142e-12,2.2086187443437757e-12,2.2086187443437757e-12,1.1257268956578384e-11,1.1257268956578384e-11,1.1082508400225563e-11,1.1082508400225563e-11,5.517184638348207e-12,5.517184638348207e-12,3.385333298894034e-12,3.385333298894034e-12,1.7977505182183171e-12,1.7977505182183171e-12,3.619436600689323e-13,3.619436600689323e-13,2.192179353305582e-14,2.192179353305582e-14
406.8384260783638,0.0,5.208396580093247,2560.0,2560.0,0.20730843421403522,1.6422801671544139e-12,1.6422801671544139e-12,1.630770150978465e-12,1.630770150978465e-12,9.679566599363683e-13,9.679566599363683e-13,4.922116706575804e-12,4.922116706575804e-12,3.5404472825843356e-14,3.5404472825843356e-14,1.2674264100905683e-13,1.2674264100905683e-13,1.3537052226200355e-12,1.3537052226200355e-12,3.03223821409595e-12,3.03223821409595e-12,2.2879974191522564e-12,2.2879974191522564e-12,1.1509630021870748e-11,1.1509630021870748e-11,1.1331280184833091e-11,1.1331280184833091e-11,5.648170821334759e-12,5.648170821334759e-12,3.4573157565602156e-12,3.4573157565602156e-12,1.8395646056610445e-12,1.8395646056610445e-12,3.6712909024724433e-13,3.6712909024724433e-13,2.2216096732052732e-14,2.2216096732052732e-14
752.5849770356053,0.0,5.208396580093247,2580.0,2580.0,0.47444201347340176,1.7693209491966508e-12,1.7693209491966508e-12,1.6605878137256466e-12,1.6605878137256466e-12,9.894992225813787e-13,9.894992225813787e-13,5.184684724490557e-12,5.184684724490557e-12,3.9997605208741275e-14,3.9997605208741275e-14,1.3507200270017618e-13,1.3507200270017618e-13,1.4712981818777105e-12,1.4712981818777105e-12,3.2000599744175873e-12,3.2000599744175873e-12,2.3696179607597176e-12,2.3696179607597176e-12,1.1765860331700319e-11,1.1765860331700319e-11,1.1583892577597678e-11,1.1583892577597678e-11,5.781298817172963e-12,5.781298817172963e-12,3.530338819906493e-12,3.530338819906493e-12,1.8820323906645014e-12,1.8820323906645014e-12,3.7234837641277596e-13,3.7234837641277596e-13,2.251201599816764e-14,2.251201599816764e-14
